region_id,center_node_idx,cell_id
UPMC_c002_v001_r001_reg027,4292,363402
UPMC_c002_v001_r001_reg027,3931,362985
UPMC_c002_v001_r001_reg027,5743,364977
UPMC_c002_v001_r001_reg027,3977,363035
UPMC_c002_v001_r001_reg029,6472,377283
UPMC_c002_v001_r001_reg029,512,370713
UPMC_c002_v001_r001_reg029,3127,373596
UPMC_c002_v001_r001_reg029,3167,373639
UPMC_c002_v001_r001_reg029,1660,371964
UPMC_c002_v001_r001_reg029,6407,377208
UPMC_c002_v001_r001_reg029,4296,374931
UPMC_c002_v001_r001_reg030,3842,382021
UPMC_c002_v001_r001_reg030,1515,379546
UPMC_c002_v001_r001_reg030,3133,381266
UPMC_c002_v001_r001_reg030,1763,379811
UPMC_c002_v001_r001_reg030,5367,383632
UPMC_c002_v001_r001_reg030,4781,383020
UPMC_c002_v001_r001_reg032,1193,387587
UPMC_c002_v001_r001_reg032,4967,391615
UPMC_c002_v001_r001_reg032,1787,388198
UPMC_c002_v001_r001_reg032,3225,389738
UPMC_c002_v001_r001_reg032,4583,391191
UPMC_c002_v001_r001_reg034,541,397524
UPMC_c002_v001_r001_reg034,460,397440
UPMC_c002_v001_r001_reg035,1936,401044
UPMC_c002_v001_r001_reg035,934,399936
UPMC_c003_v001_r001_reg002,642,406444
UPMC_c003_v001_r001_reg002,2063,407953
UPMC_c003_v001_r001_reg002,2971,408942
UPMC_c003_v001_r001_reg002,3114,409101
UPMC_c003_v001_r001_reg003,1307,411018
UPMC_c003_v001_r001_reg003,1065,410728
UPMC_c003_v001_r001_reg003,81,409574
UPMC_c003_v001_r001_reg004,4916,418162
UPMC_c003_v001_r001_reg004,1116,414047
UPMC_c003_v001_r001_reg004,4973,418224
UPMC_c003_v001_r001_reg004,2898,416000
UPMC_c003_v001_r001_reg004,3931,417119
UPMC_c003_v001_r001_reg004,5303,418573
UPMC_c003_v001_r001_reg005,3508,423357
UPMC_c003_v001_r001_reg005,3933,424005
UPMC_c003_v001_r001_reg005,1550,420799
UPMC_c003_v001_r001_reg005,4883,425293
UPMC_c003_v001_r001_reg005,1776,421074
UPMC_c003_v001_r001_reg005,624,419685
UPMC_c003_v001_r001_reg006,4021,429855
UPMC_c003_v001_r001_reg006,2164,427944
UPMC_c003_v001_r001_reg006,2263,428046
UPMC_c003_v001_r001_reg006,569,426310
UPMC_c003_v001_r001_reg006,2331,428119
UPMC_c003_v001_r001_reg007,2980,433034
UPMC_c003_v001_r001_reg007,5583,435679
UPMC_c003_v001_r001_reg007,6891,437011
UPMC_c003_v001_r001_reg007,1850,431889
UPMC_c003_v001_r001_reg007,2299,432346
UPMC_c003_v001_r001_reg007,3099,433155
UPMC_c003_v001_r001_reg007,4200,434266
UPMC_c003_v001_r001_reg008,2011,439362
UPMC_c003_v001_r001_reg008,1843,439187
UPMC_c003_v001_r001_reg008,379,437614
UPMC_c003_v001_r001_reg008,3511,440908
UPMC_c003_v001_r001_reg010,1279,449564
UPMC_c003_v001_r001_reg010,1339,449632
UPMC_c003_v001_r001_reg010,405,448608
UPMC_c003_v001_r001_reg013,1255,459910
UPMC_c003_v001_r001_reg013,971,459576
UPMC_c003_v001_r001_reg013,1450,460150
UPMC_c003_v001_r001_reg015,1263,463062
UPMC_c003_v001_r001_reg015,1050,462831
UPMC_c003_v001_r001_reg015,1954,463764
UPMC_c003_v001_r001_reg017,1281,468297
UPMC_c003_v001_r001_reg017,467,467417
UPMC_c003_v001_r001_reg018,1669,470945
UPMC_c003_v001_r001_reg018,1016,470228
UPMC_c003_v001_r001_reg020,4289,480659
UPMC_c003_v001_r001_reg020,3686,480032
UPMC_c003_v001_r001_reg020,1071,477175
UPMC_c003_v001_r001_reg020,3129,479452
UPMC_c003_v001_r001_reg020,1503,477682
UPMC_c003_v001_r001_reg020,3565,479906
UPMC_c003_v001_r001_reg021,3543,486052
UPMC_c003_v001_r001_reg021,3628,486173
UPMC_c003_v001_r001_reg021,3298,485706
UPMC_c003_v001_r001_reg021,1464,483324
UPMC_c003_v001_r001_reg021,2936,485157
UPMC_c003_v001_r001_reg022,2545,489395
UPMC_c003_v001_r001_reg022,6241,493142
UPMC_c003_v001_r001_reg022,4070,490942
UPMC_c003_v001_r001_reg022,4337,491216
UPMC_c003_v001_r001_reg022,3141,489993
UPMC_c003_v001_r001_reg022,1524,488369
UPMC_c003_v001_r001_reg022,2383,489233
UPMC_c003_v001_r001_reg022,5376,492266
UPMC_c003_v001_r001_reg023,4008,498930
UPMC_c003_v001_r001_reg023,358,495165
UPMC_c003_v001_r001_reg023,193,494993
UPMC_c003_v001_r001_reg023,3938,498860
UPMC_c003_v001_r001_reg023,825,495644
UPMC_c003_v001_r001_reg024,32,499500
UPMC_c003_v001_r001_reg024,648,500234
UPMC_c003_v001_r001_reg025,5365,506334
UPMC_c003_v001_r001_reg025,525,501356
UPMC_c003_v001_r001_reg025,290,501115
UPMC_c003_v001_r001_reg025,5232,506192
UPMC_c003_v001_r001_reg025,1064,501909
UPMC_c003_v001_r001_reg025,3843,504760
UPMC_c003_v001_r001_reg026,4897,512058
UPMC_c003_v001_r001_reg026,769,507740
UPMC_c003_v001_r001_reg026,60,507001
UPMC_c003_v001_r001_reg026,1420,508416
UPMC_c003_v001_r001_reg026,761,507731
UPMC_c003_v001_r001_reg027,2306,514657
UPMC_c003_v001_r001_reg027,782,513083
UPMC_c003_v001_r001_reg027,2198,514544
UPMC_c003_v001_r001_reg027,449,512742
UPMC_c003_v001_r001_reg028,3506,519189
UPMC_c003_v001_r001_reg028,1509,517184
UPMC_c003_v001_r001_reg028,1165,516823
UPMC_c003_v001_r001_reg028,3994,519681
UPMC_c003_v001_r001_reg028,3653,519336
UPMC_c003_v001_r001_reg029,8816,529370
UPMC_c003_v001_r001_reg029,2043,522483
UPMC_c003_v001_r001_reg029,8538,529085
UPMC_c003_v001_r001_reg029,2969,523419
UPMC_c003_v001_r001_reg029,8546,529094
UPMC_c003_v001_r001_reg029,4956,525441
