CELL_ID,X,Y
1421,569,713
1409,1197,707
1423,86,713
1420,533,712
1427,2115,713
1429,792,715
1434,144,717
1424,720,711
1432,2308,714
1422,1707,712
1443,372,722
1428,2443,714
1433,2607,715
1437,548,718
1436,1894,716
1441,1244,719
1431,1742,714
1438,1871,717
1435,834,715
1444,1184,719
1451,1148,725
1448,473,721
1440,748,719
1450,821,722
1464,1128,728
1460,1170,727
1461,1375,727
1470,1427,732
1457,2002,724
1446,728,722
1452,1498,722
1439,2042,718
1449,599,722
1455,1199,725
1445,1531,720
1447,2426,721
1454,851,725
1456,1215,725
1465,1393,729
1458,205,726
1459,435,726
1463,1316,728
1469,1257,730
1453,310,724
1462,355,727
1475,2360,733
1479,174,733
1497,1529,738
1481,958,736
1471,646,732
1476,337,734
1483,420,737
1485,709,736
1467,1716,729
1494,2171,738
1468,1022,730
1492,1278,737
1472,1482,734
1466,1658,729
1506,2205,740
1490,382,738
1487,1008,736
1493,1297,738
1474,2067,732
1484,553,738
1482,1114,735
1491,1227,740
1499,1345,741
1489,2087,737
1480,487,734
1477,1755,733
1478,2457,735
1486,738,737
1505,979,743
1473,1643,734
1495,257,738
1496,305,739
1498,1791,741
1512,2305,747
1513,1084,749
1488,1362,737
1503,1830,742
1504,1852,741
1530,1031,750
1501,2407,741
1508,1739,745
1511,1190,747
1510,793,745
1522,2035,750
1562,2328,760
1502,2628,742
1528,1924,751
1514,1544,749
1500,1714,741
1540,2266,755
1535,400,756
1507,1614,745
1509,291,746
1520,1148,751
1515,1575,750
1537,998,757
1527,1678,751
1518,716,751
1538,1107,756
1526,1210,752
1521,1257,750
1523,2071,749
1516,2113,748
1547,2137,760
1534,266,759
1543,1333,759
1529,644,755
1517,2492,749
1524,487,755
1519,730,750
1531,1810,754
1532,175,755
1565,2236,766
1533,217,754
1525,581,752
1544,619,760
1541,756,756
1536,773,756
1539,1127,756
1546,1959,761
1563,234,766
1549,331,761
1545,1015,763
1560,938,765
1542,1276,755
1554,1387,763
1552,2196,764
1548,126,763
1550,500,761
1551,1360,762
1555,2001,763
1553,423,764
1556,2084,763
1571,1239,768
1557,197,764
1558,345,766
1567,699,767
1561,1658,764
1574,440,771
1569,516,769
1568,2291,767
1588,159,779
1578,284,770
1564,362,765
1559,844,765
1572,1275,768
1586,1037,778
1570,1173,768
1575,1200,770
1576,1736,769
1573,1794,769
1566,2595,766
1594,2212,779
1577,108,772
1593,1910,781
1582,1936,774
