,cv,entropy,nonzero_ratio
MS4A4A,1.6388713,10.11713,0.27721550234509995
IL2RA,1.6508645,10.101771,0.27425327079733397
MYC,1.6514817,10.09638,0.27227844976549
PECAM1,1.6591859,10.090567,0.2720315971365095
STC2,1.6634942,10.080308,0.2690693655887435
CYTIP,1.6737616,10.071492,0.268328807701802
CD163,1.7176626,10.016456,0.25845470254258207
GNG11,1.7509334,9.970978,0.24956800789928413
CD4,1.7757375,9.9452,0.24611207109355715
CXCL10,1.8017908,9.916991,0.24191557640088868
SLAMF7,1.8017215,9.91256,0.24043446062700569
LILRB2,1.8596125,9.842468,0.22907923969390273
CD86,1.8820509,9.815567,0.22488274500123426
SMYD2,1.8813611,9.812411,0.22364848185633177
BCL2L11,1.8917782,9.805191,0.22340162922735127
CD3D,1.9016973,9.790457,0.22068625030856578
IGSF6,1.9061503,9.786888,0.22043939767958529
PLA2G7,1.9252796,9.765651,0.2174771661318193
LIF,1.9856647,9.691218,0.20587509256973588
MYLK,1.9906707,9.688391,0.20587509256973588
MTRNR2L11,1.99537,9.681137,0.2046408294248334
TNFRSF9,2.0284588,9.642788,0.1992100715872624
GPR183,2.053137,9.6167,0.19600098741051591
CXCL6,2.064823,9.602158,0.19377931374969143
FSTL3,2.0635147,9.600246,0.19303875586274993
KCNK3,2.0797744,9.581737,0.19057022957294495
ADAM28,2.0879116,9.577048,0.19057022957294495
FXYD2,2.089762,9.570506,0.18908911379906196
EGFR,2.1203685,9.5362215,0.184645766477413
GPRC5A,2.1282086,9.528947,0.1839052085904715
RTKN2,2.1383934,9.520254,0.18316465070353
IL7R,2.1434898,9.517469,0.18316465070353
THBS2,2.1366982,9.520299,0.1829177980745495
IRF8,2.15116,9.5082655,0.1819303875586275
CTLA4,2.1528492,9.503407,0.1809429770427055
CD70,2.1620739,9.489705,0.17872130338188102
GEM,2.1829715,9.471042,0.17699333497901754
AMY2A,2.193144,9.461329,0.17600592446309554
MNDA,2.217816,9.433547,0.17254998765736856
MRC1,2.2387838,9.410764,0.16983460873858305
CDK1,2.2483454,9.398578,0.16810664033571956
TCIM,2.2714174,9.379704,0.16662552456183657
TM4SF18,2.266168,9.380615,0.16613181930387558
MKI67,2.2712271,9.374533,0.16539126141693408
IGF1,2.2824154,9.364284,0.1644038509010121
CD34,2.322082,9.321575,0.15946679832140212
PPARG,2.3618615,9.282542,0.15551715625771415
MEST,2.3578408,9.2848215,0.15551715625771415
PPP1R1A,2.397491,9.241055,0.15058010367810418
FKBP11,2.415827,9.224597,0.1490989879042212
CENPF,2.4269364,9.212899,0.1478647247593187
CD28,2.4491186,9.190662,0.1456430510984942
UBE2C,2.533631,9.105657,0.13725006171315723
RBP5,2.5568855,9.082506,0.13502838805233275
RIDA,2.5692635,9.0712185,0.13404097753641075
CLEC4E,2.585085,9.059316,0.13330041964946926
HLA-DQB2,2.5835724,9.058847,0.13305356702048876
CD83,2.614958,9.0313635,0.13083189335966428
NTN4,2.6056826,9.036013,0.13083189335966428
ADAMTS1,2.6097906,9.034357,0.13083189335966428
CD93,2.6188877,9.0265875,0.13033818810170328
THAP2,2.6132472,9.028261,0.13009133547272278
EDN1,2.6220648,9.020042,0.12935077758578128
CD69,2.6333659,9.010353,0.1286102196988398
CD27,2.6431267,9.000256,0.1276228091829178
PLCG2,2.6496842,8.995486,0.1273759565539373
CTSK,2.6643393,8.982935,0.1263885460380153
LAG3,2.6742876,8.971213,0.1251542828931128
FBN1,2.692353,8.956827,0.12416687237719082
CD247,2.6924615,8.95262,0.12342631449024932
TOP2A,2.716014,8.931339,0.12169834608738583
SLC26A2,2.752448,8.898146,0.11898296716860035
ELF5,2.7552154,8.895308,0.11873611453961985
CFHR3,2.753628,8.896212,0.11873611453961985
MEF2C,2.7802155,8.876279,0.11750185139471736
PDPN,2.7963243,8.85817,0.11577388299185386
IL1R2,2.803833,8.851784,0.11528017773389286
ACTA2,2.8231838,8.838319,0.11453961984695137
