,cv,entropy,nonzero_ratio
BLANK_0413,158.80118,3.1653016,3.9900868508904546e-05
BLANK_0411,168.39772,2.9956903,3.546743867458182e-05
BLANK_0426,168.32278,2.9964647,3.546743867458182e-05
NegControlCodeword_0509,168.28584,2.9967172,3.546743867458182e-05
BLANK_0457,168.456,2.995256,3.546743867458182e-05
BLANK_0409,169.17812,2.989478,3.546743867458182e-05
BLANK_0386,168.4183,2.9956856,3.546743867458182e-05
BLANK_0482,169.04639,2.9901474,3.546743867458182e-05
BLANK_0394,168.40846,2.9956582,3.546743867458182e-05
BLANK_0490,168.56796,2.9941833,3.546743867458182e-05
BLANK_0480,168.44374,2.9953637,3.546743867458182e-05
NegControlCodeword_0523,168.06284,2.9986606,3.546743867458182e-05
BLANK_0356,168.24205,2.9970956,3.546743867458182e-05
NegControlCodeword_0505,168.14333,2.9979863,3.546743867458182e-05
BLANK_0354,171.2751,2.971178,3.546743867458182e-05
BLANK_0387,180.4865,2.7994967,3.103400884025909e-05
BLANK_0481,180.03754,2.8030488,3.103400884025909e-05
BLANK_0402,179.85873,2.8044899,3.103400884025909e-05
BLANK_0378,179.90121,2.8041124,3.103400884025909e-05
NegControlCodeword_0526,180.07222,2.8027964,3.103400884025909e-05
BLANK_0444,180.46439,2.799584,3.103400884025909e-05
BLANK_0372,180.90742,2.7960637,3.103400884025909e-05
BLANK_0384,180.00143,2.8033433,3.103400884025909e-05
BLANK_0391,179.73637,2.8054492,3.103400884025909e-05
BLANK_0420,180.27371,2.8012755,3.103400884025909e-05
BLANK_0470,179.91937,2.804003,3.103400884025909e-05
BLANK_0467,195.52737,2.5725873,2.6600579005936363e-05
BLANK_0496,194.72997,2.5788004,2.6600579005936363e-05
BLANK_0434,195.59186,2.5721505,2.6600579005936363e-05
BLANK_0492,194.54977,2.5799222,2.6600579005936363e-05
BLANK_0130,193.97084,2.5843225,2.6600579005936363e-05
BLANK_0406,194.56952,2.5798078,2.6600579005936363e-05
BLANK_0498,195.75563,2.5708203,2.6600579005936363e-05
NegControlCodeword_0527,194.42397,2.5809953,2.6600579005936363e-05
