,cv,entropy,nonzero_ratio
PCP4,9.921743,8.565415,0.010176553860947141
SELL,9.935373,8.561619,0.010149843745826545
MEDAG,10.053576,8.52945,0.009936162824861774
CD3D,10.068163,8.522809,0.009882742594620584
LAG3,10.119783,8.507863,0.009775902134138198
AQP9,10.179091,8.495579,0.009722481903897006
BANK1,10.152673,8.499205,0.009722481903897006
FCN1,10.234586,8.477783,0.009588931328294024
MZB1,10.318081,8.451918,0.009401960522449852
TNFRSF17,10.330836,8.448244,0.009375250407329255
MFAP5,10.477645,8.409516,0.00913485937124389
LILRB4,10.520263,8.397402,0.009054729025882101
CTLA4,10.66775,8.357971,0.008814337989796736
ESM1,10.734523,8.340349,0.00870749752931435
KRTAP2-3,10.768273,8.333568,0.008680787414193755
BTNL9,10.789359,8.324084,0.008600657068831967
FOXI1,10.9200115,8.295713,0.008467106493228986
APOA5,10.921981,8.288035,0.008386976147867197
UMOD,10.96253,8.2782,0.008333555917626004
CD247,11.216179,8.212642,0.00795961430593766
CLEC10A,11.229412,8.210518,0.00795961430593766
PRF1,11.225508,8.211405,0.00795961430593766
PGR,11.239381,8.206865,0.007932904190817063
LYVE1,11.265508,8.201142,0.007906194075696467
S100A12,11.323896,8.186377,0.007826063730334678
PCSK2,11.445208,8.156381,0.0076658030396111005
ADGRE1,11.459197,8.152075,0.007639092924490504
SOX17,11.486891,8.143651,0.0075856726942493125
ALAS2,11.555538,8.130103,0.00753225246400812
DNAAF1,11.617886,8.112217,0.007425412003525735
CD274,11.736431,8.084601,0.007291861427922755
PLAC9,11.7954235,8.069561,0.007211731082560966
MS4A2,11.810325,8.065073,0.007185020967440369
KLRD1,11.86477,8.053086,0.007131600737199178
HPGDS,11.90934,8.045153,0.007104890622078581
SLAMF1,11.886927,8.047809,0.007104890622078581
AGER,11.901833,8.043242,0.007078180506957985
FCER1A,11.958778,8.030286,0.007024760276716792
CYP4B1,11.9701,8.026434,0.006998050161596196
CYP2F1,12.012576,8.015814,0.006944629931355004
CSF3,12.046024,8.009118,0.006917919816234408
MYH11,12.045642,8.009061,0.006917919816234408
TRDN,12.072929,8.0030575,0.006891209701113812
CA1,12.103977,7.9966826,0.006864499585993215
ESR1,12.210692,7.9698114,0.006730949010390235
LGR5,12.237837,7.9638877,0.006704238895269638
DLK1,12.31442,7.9491,0.0066508186650284466
ANGPT2,12.36272,7.9347525,0.006570688319666658
ASCL3,12.461196,7.9117393,0.006463847859184273
HPX,12.517771,7.899386,0.006410427628943081
CD79A,12.55888,7.8916345,0.006383717513822484
GZMA,12.596522,7.8812013,0.0063302972835812925
KLRC1,12.640105,7.8733864,0.006303587168460696
SNTN,12.625823,7.875003,0.006303587168460696
LGI4,12.753441,7.8450603,0.0061700365928577154
GZMB,12.783046,7.8385687,0.006143326477737119
SLC4A1,12.868934,7.81958,0.00606319613237533
CHGA,12.8781595,7.8185,0.00606319613237533
CD19,12.924472,7.806252,0.006009775902134138
CFHR1,13.100583,7.767565,0.005849515211410561
LMOD2,13.087684,7.7689867,0.005849515211410561
TMEM52B,13.147625,7.759094,0.005822805096289965
SOX18,13.263516,7.73337,0.005715964635807581
LPL,13.268696,7.7328444,0.005715964635807581
CXCL10,13.342128,7.7149396,0.005635834290445792
FOXP3,13.478943,7.6861186,0.005528993829963407
CLCA2,13.526928,7.6779017,0.005502283714842811
C1orf194,13.551211,7.671588,0.005475573599722215
AHSP,13.684473,7.6434216,0.00536873313923983
TSPAN19,13.706988,7.6374545,0.005342023024119234
TBX3,13.7985735,7.6206794,0.005288602793878041
NKG7,13.930143,7.592415,0.005181762333395657
GYPA,14.115637,7.5548162,0.005048211757792676
CD1A,14.116364,7.5547237,0.005048211757792676
CYP3A4,14.115021,7.554744,0.005048211757792676
CCDC39,14.199744,7.5383916,0.0049947915275514836
SLC26A3,14.265161,7.5239067,0.004941371297310292
FGFBP2,14.319225,7.514676,0.0049146611821896955
CLCA1,14.396888,7.499171,0.004861240951948503
RERGL,14.387128,7.500052,0.004861240951948503
HIGD1B,14.42471,7.492453,0.0048345308368279065
FOXJ1,14.421827,7.492672,0.0048345308368279065
HMGCS2,14.499776,7.47693,0.004781110606586715
GNLY,14.548364,7.4680285,0.0047544004914661184
SERPINB3,14.701255,7.4367356,0.004647560030983733
LILRA4,14.837744,7.4102254,0.004567429685621945
MS4A1,14.943339,7.3874865,0.004487299340260156
CD27,15.039315,7.3742857,0.004460589225139561
LILRA5,15.157818,7.349647,0.004380458879777772
COL17A1,15.298362,7.3234134,0.004300328534415984
GZMK,15.342809,7.3146553,0.004273618419295387
ASCL1,15.3854,7.3060274,0.004246908304174791
SLC18A2,15.60404,7.267311,0.004140067843692407
IL1RL1,15.734929,7.241121,0.004059937498330618
MARCO,15.805894,7.229854,0.004033227383210021
ACKR1,16.11468,7.1729865,0.0038729666924864447
CYP1A1,16.096865,7.1745505,0.0038729666924864447
UPK3B,16.384241,7.1292133,0.00376612623200406
CDH16,16.704098,7.0700774,0.003605865541280483
HRC,16.761904,7.059725,0.0035791554261598866
TCL1A,16.776192,7.058607,0.0035791554261598866
SLC22A8,16.824884,7.048944,0.0035524453110392907
AQP2,16.867674,7.0456758,0.0035524453110392907
PRG4,16.980356,7.024791,0.003499025080798098
NAT8,17.037075,7.0144725,0.003472314965677502
CCL19,17.104261,7.0034037,0.003445604850556906
BBOX1,17.650278,6.911457,0.0032319239295921366
SNCG,17.874245,6.875063,0.003151793584230348
TNFRSF13B,17.852364,6.876873,0.003151793584230348
CCL27,17.957659,6.862381,0.0031250834691097518
PEBP4,18.328787,6.8014135,0.002991532893506771
TAC1,18.423512,6.7876143,0.0029648227783861747
DNASE1L3,18.444136,6.785912,0.0029648227783861747
CD5L,18.45554,6.7853217,0.0029648227783861747
HEMGN,19.339275,6.649998,0.0026977216271802133
FOXA1,19.438421,6.6354346,0.002671011512059617
ADIPOQ,19.420132,6.636692,0.002671011512059617
GKN2,19.512709,6.6226287,0.0026443013969390207
PIP,19.511616,6.6226997,0.0026443013969390207
PVALB,19.738216,6.591638,0.0025908811666978285
OPRPN,20.095343,6.5439577,0.00251075082133604
SPDEF,20.242073,6.5170693,0.0024573305910948477
CCDC78,20.485344,6.484105,0.002403910360853655
TAT,20.564434,6.47048,0.0023772002457330592
MLANA,21.080318,6.401651,0.0022703597852506744
ADH4,21.18703,6.3857427,0.002243649670130078
DES,21.608074,6.3312855,0.0021635193247682896
C6orf118,21.784338,6.3105836,0.0021368092096476937
GLYATL1,23.033546,6.144024,0.0018964181735623281
KRT20,23.379211,6.1019306,0.0018429979433211357
TFF2,23.88846,6.038802,0.0017628675979593472
CTSG,24.437082,5.972775,0.0016827372525975587
FCN2,24.692335,5.946141,0.0016560271374769626
GYPB,25.071665,5.900537,0.0016026069072357701
SELE,26.447783,5.747777,0.001442346216512193
C20orf85,26.651018,5.7232738,0.001415636101391597
