CELL_ID,CELL_TYPE
67798,Macrophage
67799,Macrophage
67800,Tumor (CD21+)
67801,CD8 T cell
67802,Macrophage
67803,Tumor (Podo+)
67804,Naive immune cell
67805,Tumor (Podo+)
67806,CD4 T cell
67807,Macrophage
67808,Tumor (Podo+)
67809,Lymph vessel
67810,Macrophage
67811,APC
67812,Granulocyte
67813,Stromal / Fibroblast
67814,Tumor (CD21+)
67815,Tumor (Podo+)
67816,Macrophage
67817,Stromal / Fibroblast
67818,CD8 T cell
67819,Naive immune cell
67820,Naive immune cell
67821,Granulocyte
67822,Tumor (CD15+)
67823,APC
67824,Naive immune cell
67825,Tumor (CD15+)
67826,Macrophage
67827,Naive immune cell
67828,Granulocyte
67829,Vessel
67830,Tumor
67831,Macrophage
67832,Tumor (CD15+)
67833,Tumor (Ki67+)
67834,CD8 T cell
67835,CD8 T cell
67836,CD8 T cell
67837,Tumor
67838,Tumor
67839,Tumor (Podo+)
67840,Stromal / Fibroblast
67841,Tumor (Podo+)
67842,Naive immune cell
67843,Macrophage
67844,CD8 T cell
67845,Stromal / Fibroblast
67846,Tumor (Ki67+)
67847,Stromal / Fibroblast
67848,Stromal / Fibroblast
67849,Tumor
67850,Naive immune cell
67851,Tumor (Podo+)
67852,Stromal / Fibroblast
67853,Macrophage
67854,Tumor (CD20+)
67855,Macrophage
67856,Macrophage
67857,Tumor
67858,Tumor
67859,Tumor (Podo+)
67860,CD4 T cell
67861,CD4 T cell
67862,Tumor
67863,Macrophage
67864,Granulocyte
67865,Stromal / Fibroblast
67866,Tumor (Ki67+)
67867,Tumor (CD20+)
67868,Granulocyte
67869,Tumor (CD20+)
67870,Tumor (Podo+)
67871,Stromal / Fibroblast
67872,Tumor (Podo+)
67873,CD4 T cell
67874,Tumor (CD15+)
67875,B cell
67876,Vessel
67877,Tumor (CD21+)
67878,Tumor (Ki67+)
67879,Tumor (Ki67+)
67880,CD8 T cell
67881,CD4 T cell
67882,Tumor (Podo+)
67883,Stromal / Fibroblast
67884,CD8 T cell
67885,Macrophage
67886,Macrophage
67887,Macrophage
67888,Stromal / Fibroblast
67889,Granulocyte
67890,CD4 T cell
67891,CD8 T cell
67892,Stromal / Fibroblast
67893,Tumor
67894,APC
67895,Tumor (CD20+)
67896,CD4 T cell
67897,CD4 T cell
67898,CD4 T cell
67899,Granulocyte
67900,Macrophage
67901,Naive immune cell
67902,Tumor (Podo+)
67903,Stromal / Fibroblast
67904,Granulocyte
67905,Tumor
67906,Tumor (Podo+)
67907,Tumor (Podo+)
67908,Naive immune cell
67909,Stromal / Fibroblast
67910,Tumor (CD21+)
67911,Macrophage
67912,Macrophage
67913,Tumor (Podo+)
67914,Stromal / Fibroblast
67915,Granulocyte
67916,Vessel
67917,Tumor (CD20+)
67918,CD8 T cell
67919,Tumor (CD15+)
67920,Macrophage
67921,CD4 T cell
67922,Granulocyte
67923,Tumor (CD15+)
67924,Tumor (CD15+)
67925,Stromal / Fibroblast
67926,CD8 T cell
67927,APC
67928,Tumor (Podo+)
67929,Tumor (Podo+)
67930,CD4 T cell
67931,Macrophage
67932,Tumor (Ki67+)
67933,CD4 T cell
67934,Tumor (Podo+)
67935,CD4 T cell
67936,Vessel
67937,Tumor (Ki67+)
67938,Stromal / Fibroblast
67939,Lymph vessel
67940,CD4 T cell
67941,Stromal / Fibroblast
67942,Stromal / Fibroblast
67943,Tumor (Podo+)
67944,CD8 T cell
67945,CD8 T cell
67946,Tumor (CD21+)
67947,Granulocyte
67948,Stromal / Fibroblast
67949,Granulocyte
67950,Granulocyte
67951,Stromal / Fibroblast
67952,Tumor (CD21+)
67953,Tumor (CD20+)
67954,Tumor (Podo+)
67955,Tumor
67956,Tumor (Ki67+)
67957,Granulocyte
67958,Macrophage
67959,Tumor (CD15+)
67960,Macrophage
67961,Tumor (Ki67+)
67962,Tumor (CD20+)
67963,Tumor (Ki67+)
67964,CD4 T cell
67965,CD4 T cell
67966,Tumor
67967,CD4 T cell
